strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,sensitivity_parameter,sensitivity_value
RR,0,52,3802370265261614175,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,273.0,144,523.3100669796265,0.03,0.012,gateway_integration_tau,10.0
RR,0,53,4038171143014284082,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,128,435.8410499933907,0.03,0.012,gateway_integration_tau,10.0
RR,0,54,3336529761683344824,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,106,298.65376342000974,0.03,0.012,gateway_integration_tau,10.0
RR,0,55,1760523074528716079,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,134,405.9595233743904,0.03,0.012,gateway_integration_tau,10.0
RR,0,56,7456372500045997966,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,293.0,137,471.3073113767545,0.03,0.012,gateway_integration_tau,10.0
RR,0,57,380633820391136789,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,140,349.2180320528419,0.03,0.012,gateway_integration_tau,10.0
RR,0,58,7723030530287328423,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,118,294.28814798925,0.03,0.012,gateway_integration_tau,10.0
RR,0,59,497544355896473532,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,455.8695168279044,0.03,0.012,gateway_integration_tau,10.0
RR,0,60,7845018259805258654,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,116,360.16199589309616,0.03,0.012,gateway_integration_tau,10.0
RR,0,61,5540219232902936081,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,366.86741129784195,0.03,0.012,gateway_integration_tau,10.0
RR,0,62,48725929166278989,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,133,413.29904118826164,0.03,0.012,gateway_integration_tau,10.0
RR,0,63,8475777184813767823,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,333.3854201808418,0.03,0.012,gateway_integration_tau,10.0
RR,0,64,595842880634436484,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,123,325.1653489980743,0.03,0.012,gateway_integration_tau,10.0
RR,0,65,7769771095575010619,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,364.5154160099775,0.03,0.012,gateway_integration_tau,10.0
RR,0,66,2809989228385752663,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,350.9453453695233,0.03,0.012,gateway_integration_tau,10.0
RR,0,67,5366708037640485086,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,144,454.87415082448626,0.03,0.012,gateway_integration_tau,10.0
RR,0,68,8888696536612380703,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,408.6781104178493,0.03,0.012,gateway_integration_tau,10.0
RR,0,69,703141394792259125,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,118,317.064504331169,0.03,0.012,gateway_integration_tau,10.0
RR,0,70,956861592787059750,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,124,409.22445224183735,0.03,0.012,gateway_integration_tau,10.0
RR,0,71,7171235012563863054,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,113,460.0622392801062,0.03,0.012,gateway_integration_tau,10.0
RR,0,72,7426903974649218010,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,377.08649766085296,0.03,0.012,gateway_integration_tau,10.0
RR,0,73,2281652111302095547,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,113,419.2507441268002,0.03,0.012,gateway_integration_tau,10.0
RR,0,74,6620132207452246077,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,135,413.26805347315303,0.03,0.012,gateway_integration_tau,10.0
RR,0,75,2299772339582960882,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,132,366.1873927860469,0.03,0.012,gateway_integration_tau,10.0
RR,0,76,8665134526325593785,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,116,349.3626510225699,0.03,0.012,gateway_integration_tau,10.0
RR,0,77,5831347187511415146,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,132,404.0182052550046,0.03,0.012,gateway_integration_tau,10.0
RR,0,78,2764179054952749108,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,121,325.39379352583217,0.03,0.012,gateway_integration_tau,10.0
RR,0,79,1436801579430159727,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,432.7724437861925,0.03,0.012,gateway_integration_tau,10.0
RR,0,80,4256239665401846864,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,133,397.57398443903725,0.03,0.012,gateway_integration_tau,10.0
RR,0,81,6408681589980055778,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,247.0,149,489.98652761978883,0.03,0.012,gateway_integration_tau,10.0
RR,0,82,5374022468059246902,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,113,421.79591451033934,0.03,0.012,gateway_integration_tau,10.0
RR,0,83,726333036876873047,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,130,406.2812885692932,0.03,0.012,gateway_integration_tau,10.0
RR,0,84,1514817278626261067,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,132,352.4900186888908,0.03,0.012,gateway_integration_tau,10.0
RR,0,85,3317087628463341655,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,126,364.44240658224066,0.03,0.012,gateway_integration_tau,10.0
RR,0,86,7419991104545920415,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,115,416.3255721597092,0.03,0.012,gateway_integration_tau,10.0
RR,0,87,8450532150538690303,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,123,341.1505692762154,0.03,0.012,gateway_integration_tau,10.0
RR,0,88,2342843629069381586,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,370.18058290291503,0.03,0.012,gateway_integration_tau,10.0
RR,0,89,7498646524692472735,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,134,403.3451781536872,0.03,0.012,gateway_integration_tau,10.0
RR,0,90,251150932040658662,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,125,360.73765032565,0.03,0.012,gateway_integration_tau,10.0
RR,0,91,7531563222751120521,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,137,407.4453163901433,0.03,0.012,gateway_integration_tau,10.0
RR,0,92,425096693690444293,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,365.896990218824,0.03,0.012,gateway_integration_tau,10.0
RR,0,93,1400033971108312678,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,130,404.6457618160328,0.03,0.012,gateway_integration_tau,10.0
RR,0,94,6356540359468835968,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,404.2634131497212,0.03,0.012,gateway_integration_tau,10.0
RR,0,95,8529534714100195831,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,145,430.0920085974957,0.03,0.012,gateway_integration_tau,10.0
RR,0,96,8695859923624215306,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,132,336.2685611525941,0.03,0.012,gateway_integration_tau,10.0
RR,0,97,144942717518357862,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,124,392.0141259345187,0.03,0.012,gateway_integration_tau,10.0
RR,0,98,6856198267899099668,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,130,425.2345932904854,0.03,0.012,gateway_integration_tau,10.0
RR,0,99,90915395630955618,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,114,415.6771887257314,0.03,0.012,gateway_integration_tau,10.0
RR,0,100,6645654657196752744,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,126,355.78482716606266,0.03,0.012,gateway_integration_tau,10.0
RR,0,101,2203741437911058756,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,128,426.75522548539726,0.03,0.012,gateway_integration_tau,10.0
RR,0,102,4980497102828505125,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,329.27783144443544,0.03,0.012,gateway_integration_tau,10.0
RR,0,103,1115713432009853186,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,108,310.99611193741634,0.03,0.012,gateway_integration_tau,10.0
RR,0,104,6425847817725706659,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,216.0,143,469.8592408176031,0.03,0.012,gateway_integration_tau,10.0
RR,0,105,2031634713743668263,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,125,389.91537470598115,0.03,0.012,gateway_integration_tau,10.0
RR,0,106,9070903978219037910,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,142,398.30544788990437,0.03,0.012,gateway_integration_tau,10.0
RR,0,107,8712498615403395006,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,386.9539764414515,0.03,0.012,gateway_integration_tau,10.0
RR,0,108,580827552918756433,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,113,386.3699932600791,0.03,0.012,gateway_integration_tau,10.0
RR,0,109,3042518978970265296,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,124,347.19751943488285,0.03,0.012,gateway_integration_tau,10.0
RR,0,110,6380141540004301306,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,140,438.7920423825471,0.03,0.012,gateway_integration_tau,10.0
RR,0,111,3277654332312883237,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,108,307.3228991407938,0.03,0.012,gateway_integration_tau,10.0
RR,0,112,529870914102502410,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,115,317.4867860904631,0.03,0.012,gateway_integration_tau,10.0
RR,0,113,4077133472998664756,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,133,434.34361188963385,0.03,0.012,gateway_integration_tau,10.0
RR,0,114,590048257411954913,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,124,440.78742614649434,0.03,0.012,gateway_integration_tau,10.0
RR,0,115,5556098502868485185,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,432.3280765151943,0.03,0.012,gateway_integration_tau,10.0
RR,0,116,7624948859715811113,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,122,336.77774261822265,0.03,0.012,gateway_integration_tau,10.0
RR,0,117,1908497876323257944,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,344.5369278818595,0.03,0.012,gateway_integration_tau,10.0
RR,0,118,6654942851907356094,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,132,397.1655303197591,0.03,0.012,gateway_integration_tau,10.0
RR,0,119,2474301920280693881,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,133,434.000411553549,0.03,0.012,gateway_integration_tau,10.0
RR,0,120,4446367381959723509,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,130,403.49398995085994,0.03,0.012,gateway_integration_tau,10.0
RR,0,121,3044214150712242804,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,127,339.50788098945526,0.03,0.012,gateway_integration_tau,10.0
RR,0,122,2564155487439337335,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,121,319.90330403863794,0.03,0.012,gateway_integration_tau,10.0
RR,0,123,5695776974913125466,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,128,413.4288803919195,0.03,0.012,gateway_integration_tau,10.0
RR,0,124,1843208301224522560,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,121,349.25961604851386,0.03,0.012,gateway_integration_tau,10.0
RR,0,125,8629461172255614842,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,279.0,126,505.7172003121202,0.03,0.012,gateway_integration_tau,10.0
RR,0,126,9210026360957823969,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,126,350.3927303157397,0.03,0.012,gateway_integration_tau,10.0
RR,0,127,3391529440808585547,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,141,418.38977691228047,0.03,0.012,gateway_integration_tau,10.0
RR,0,128,2370946726501696830,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,113,332.5215415478541,0.03,0.012,gateway_integration_tau,10.0
RR,0,129,4785190026911278648,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,137,394.8076403786487,0.03,0.012,gateway_integration_tau,10.0
RR,0,130,3524734538290878975,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,110,285.347453610901,0.03,0.012,gateway_integration_tau,10.0
RR,0,131,4494320224657503591,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,137,351.5682327564425,0.03,0.012,gateway_integration_tau,10.0
RR,0,132,7473255948308178846,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,105,366.4447881845309,0.03,0.012,gateway_integration_tau,10.0
RR,0,133,7689273433398957687,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,134,407.4212539475792,0.03,0.012,gateway_integration_tau,10.0
RR,0,134,4659808487548660405,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,276.0,139,473.36330689060253,0.03,0.012,gateway_integration_tau,10.0
RR,0,135,7288162072453088351,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,125,434.2674916008304,0.03,0.012,gateway_integration_tau,10.0
RR,0,136,349218908106916316,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,395.83887270954153,0.03,0.012,gateway_integration_tau,10.0
RR,0,137,8589599430816917522,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,190.0,130,484.9479584067094,0.03,0.012,gateway_integration_tau,10.0
RR,0,138,6933355935188362025,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,129,374.1662480290272,0.03,0.012,gateway_integration_tau,10.0
RR,0,139,4093230265916850064,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,349.93349713361124,0.03,0.012,gateway_integration_tau,10.0
RR,0,140,3515802806389386458,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,147,469.0716371951186,0.03,0.012,gateway_integration_tau,10.0
RR,0,141,8307962977924929689,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,136,390.71286411806096,0.03,0.012,gateway_integration_tau,10.0
RR,0,142,7575604150648080158,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,114,346.2914284631965,0.03,0.012,gateway_integration_tau,10.0
RR,0,143,8285606041544652707,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,133,419.8996657716313,0.03,0.012,gateway_integration_tau,10.0
RR,0,144,4672864947221583352,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,148,458.5233612111024,0.03,0.012,gateway_integration_tau,10.0
RR,0,145,1154764542687911318,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,119,416.3833854463815,0.03,0.012,gateway_integration_tau,10.0
RR,0,146,3297647176744255452,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,193.0,133,470.1375841866851,0.03,0.012,gateway_integration_tau,10.0
RR,0,147,7858435624086908979,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,117,390.5159559740734,0.03,0.012,gateway_integration_tau,10.0
RR,0,148,5165919310896663158,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,131,386.3323482649579,0.03,0.012,gateway_integration_tau,10.0
RR,0,149,1933667660072330072,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,113,291.86446452097954,0.03,0.012,gateway_integration_tau,10.0
RR,0,150,3021480965935241848,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,269.0,122,474.3093608988908,0.03,0.012,gateway_integration_tau,10.0
RR,0,151,4290658630219032147,evaluation,sweep:anomaly_pair:shared_scenarios,469.16091844887404,0,0,inf,inf,120,331.56618677554656,0.03,0.012,gateway_integration_tau,10.0
