strategy,state_h1,trial,mean_on_fraction,mean_rising_edges_per_node,total_rising_edges,mean_on_duration_s
RR,0,231,0.018073089700996678,3.12,156,1.7435897435897436
RR,0,232,0.02053156146179402,3.06,153,2.019607843137255
RR,0,233,0.02,3.24,162,1.8580246913580247
RR,0,234,0.02239202657807309,3.36,168,2.005952380952381
RR,0,235,0.020863787375415284,3.32,166,1.891566265060241
RR,0,236,0.019601328903654486,3.16,158,1.8670886075949367
RR,0,237,0.02132890365448505,3.22,161,1.9937888198757765
RR,0,238,0.018272425249169437,3.42,171,1.608187134502924
RR,0,239,0.01574750830564784,2.88,144,1.6458333333333333
RR,0,240,0.01813953488372093,2.82,141,1.9361702127659575
RR,0,241,0.022192691029900333,3.8,190,1.7578947368421052
RR,0,242,0.019601328903654486,3.02,151,1.9536423841059603
RR,0,243,0.018538205980066447,3.04,152,1.8355263157894737
RR,0,244,0.015149501661129569,2.76,138,1.6521739130434783
RR,0,245,0.02006644518272425,2.98,149,2.0268456375838926
RR,0,246,0.014883720930232559,2.7,135,1.6592592592592592
RR,0,247,0.018604651162790697,3.18,159,1.7610062893081762
RR,0,248,0.019867109634551496,3.64,182,1.6428571428571428
RR,0,249,0.016677740863787375,2.92,146,1.7191780821917808
TR,0,0,0.016877076411960134,2.46,123,2.065040650406504
TR,0,1,0.01787375415282392,2.78,139,1.935251798561151
TR,0,2,0.017408637873754153,2.66,133,1.9699248120300752
TR,0,3,0.022790697674418603,3.36,168,2.0416666666666665
TR,0,4,0.019401993355481727,2.68,134,2.1791044776119404
TR,0,5,0.02026578073089701,3.28,164,1.8597560975609757
TR,0,6,0.019335548172757476,2.86,143,2.034965034965035
TR,0,7,0.022657807308970098,2.9,145,2.3517241379310345
TR,0,8,0.021196013289036544,2.78,139,2.2949640287769784
TR,0,9,0.02239202657807309,3.4,170,1.9823529411764707
TR,0,10,0.022990033222591362,3.48,174,1.9885057471264367
TR,0,11,0.017740863787375414,2.66,133,2.007518796992481
TR,0,12,0.019667774086378736,2.8,140,2.1142857142857143
TR,0,13,0.020199335548172756,3.16,158,1.9240506329113924
TR,0,14,0.01647840531561462,2.7,135,1.837037037037037
TR,0,15,0.019401993355481727,3.12,156,1.8717948717948718
TR,0,16,0.022524916943521593,3.24,162,2.0925925925925926
TR,0,17,0.020863787375415284,3.06,153,2.052287581699346
TR,0,18,0.023322259136212626,3.4,170,2.0647058823529414
TR,0,19,0.020598006644518274,3.14,157,1.9745222929936306
TR,0,20,0.019933554817275746,3.0,150,2.0
TR,0,21,0.015548172757475083,2.54,127,1.8425196850393701
TR,0,22,0.016943521594684385,2.72,136,1.875
TR,0,23,0.02026578073089701,2.74,137,2.2262773722627736
TR,0,24,0.019601328903654486,3.12,156,1.891025641025641
TR,0,25,0.019667774086378736,3.02,151,1.9602649006622517
