strategy,state_h1,trial,mean_on_fraction,mean_rising_edges_per_node,total_rising_edges,mean_on_duration_s
EIR,0,51,0.0,0.0,0,0.0
EIR,0,52,0.0,0.0,0,0.0
EIR,0,53,0.0005980066445182724,0.02,1,9.0
EIR,0,54,0.0,0.0,0,0.0
EIR,0,55,0.0,0.0,0,0.0
EIR,0,56,0.0011295681063122924,0.04,2,8.5
EIR,0,57,0.00053156146179402,0.02,1,8.0
EIR,0,58,0.0,0.0,0,0.0
EIR,0,59,0.0,0.0,0,0.0
EIR,0,60,0.0003322259136212625,0.02,1,5.0
EIR,0,61,0.0,0.0,0,0.0
EIR,0,62,0.0005980066445182724,0.02,1,9.0
EIR,0,63,0.0,0.0,0,0.0
EIR,0,64,0.0,0.0,0,0.0
EIR,0,65,0.0007973421926910299,0.02,1,12.0
EIR,0,66,0.00039867109634551497,0.02,1,6.0
EIR,0,67,0.0,0.0,0,0.0
EIR,0,68,0.0,0.0,0,0.0
EIR,0,69,0.00039867109634551497,0.02,1,6.0
EIR,0,70,0.0,0.0,0,0.0
EIR,0,71,0.0,0.0,0,0.0
EIR,0,72,0.00039867109634551497,0.02,1,6.0
EIR,0,73,0.0,0.0,0,0.0
EIR,0,74,0.0,0.0,0,0.0
EIR,0,75,0.0012624584717607973,0.04,2,9.5
EIR,0,76,0.0,0.0,0,0.0
EIR,0,77,0.0007973421926910299,0.04,2,6.0
EIR,0,78,0.0005980066445182724,0.02,1,9.0
EIR,0,79,0.00132890365448505,0.06,3,6.666666666666667
EIR,0,80,0.0,0.0,0,0.0
EIR,0,81,0.0,0.0,0,0.0
EIR,0,82,0.0,0.0,0,0.0
EIR,0,83,0.00053156146179402,0.02,1,8.0
EIR,0,84,0.0012624584717607973,0.04,2,9.5
EIR,0,85,0.0,0.0,0,0.0
EIR,0,86,0.000664451827242525,0.02,1,10.0
EIR,0,87,0.0,0.0,0,0.0
EIR,0,88,0.0,0.0,0,0.0
EIR,0,89,0.0,0.0,0,0.0
EIR,0,90,0.0,0.0,0,0.0
EIR,0,91,0.0,0.0,0,0.0
EIR,0,92,0.0,0.0,0,0.0
EIR,0,93,0.0007308970099667774,0.04,2,5.5
EIR,0,94,0.0,0.0,0,0.0
EIR,0,95,0.0,0.0,0,0.0
EIR,0,96,0.0,0.0,0,0.0
EIR,0,97,0.0,0.0,0,0.0
EIR,0,98,0.0,0.0,0,0.0
EIR,0,99,0.0005980066445182724,0.02,1,9.0
RR,1,0,0.010431893687707642,0.98,49,3.204081632653061
RR,1,1,0.030232558139534883,2.16,108,4.212962962962963
RR,1,2,0.01760797342192691,1.46,73,3.6301369863013697
RR,1,3,0.04325581395348837,2.8,140,4.65
RR,1,4,0.027574750830564786,2.16,108,3.8425925925925926
RR,1,5,0.03215946843853821,2.06,103,4.699029126213592
RR,1,6,0.004651162790697674,0.6,30,2.3333333333333335
RR,1,7,0.02006644518272425,1.36,68,4.4411764705882355
RR,1,8,0.02352159468438538,2.18,109,3.2477064220183487
RR,1,9,0.013953488372093023,1.9,95,2.210526315789474
RR,1,10,0.023920265780730896,2.28,114,3.1578947368421053
RR,1,11,0.05149501661129568,3.0,150,5.166666666666667
RR,1,12,0.011295681063122924,0.98,49,3.4693877551020407
RR,1,13,0.017740863787375414,1.48,74,3.608108108108108
RR,1,14,0.013156146179401994,1.34,67,2.955223880597015
RR,1,15,0.02963455149501661,2.46,123,3.6260162601626016
RR,1,16,0.011428571428571429,1.3,65,2.646153846153846
RR,1,17,0.012757475083056479,1.1,55,3.4909090909090907
RR,1,18,0.018205980066445183,1.8,90,3.0444444444444443
RR,1,19,0.03215946843853821,2.52,126,3.8412698412698414
RR,1,20,0.009102990033222591,1.08,54,2.537037037037037
RR,1,21,0.016677740863787375,1.42,71,3.535211267605634
RR,1,22,0.006445182724252492,0.64,32,3.03125
RR,1,23,0.016146179401993355,1.86,93,2.6129032258064515
RR,1,24,0.019136212624584717,1.24,62,4.645161290322581
RR,1,25,0.011827242524916943,1.36,68,2.6176470588235294
RR,1,26,0.04006644518272425,2.74,137,4.401459854014599
RR,1,27,0.014950166112956811,1.06,53,4.245283018867925
RR,1,28,0.029501661129568105,2.48,124,3.5806451612903225
RR,1,29,0.01388704318936877,1.08,54,3.8703703703703702
RR,1,30,0.028970099667774085,2.36,118,3.694915254237288
RR,1,31,0.009368770764119601,0.94,47,3.0
RR,1,32,0.02830564784053156,2.36,118,3.610169491525424
RR,1,33,0.035614617940199336,2.76,138,3.8840579710144927
RR,1,34,0.010299003322259137,0.8,40,3.875
RR,1,35,0.02,1.4,70,4.3
RR,1,36,0.005382059800664452,0.56,28,2.892857142857143
RR,1,37,0.025714285714285714,2.1,105,3.6857142857142855
RR,1,38,0.029169435215946844,2.44,122,3.598360655737705
RR,1,39,0.012956810631229236,1.34,67,2.91044776119403
RR,1,40,0.04225913621262459,2.84,142,4.47887323943662
RR,1,41,0.030963455149501662,2.66,133,3.5037593984962405
RR,1,42,0.03946843853820598,2.98,149,3.9865771812080535
RR,1,43,0.017940199335548173,1.52,76,3.5526315789473686
RR,1,44,0.01362126245847176,1.36,68,3.014705882352941
RR,1,45,0.02026578073089701,1.68,84,3.630952380952381
RR,1,46,0.009966777408637873,1.02,51,2.9411764705882355
RR,1,47,0.02079734219269103,1.76,88,3.5568181818181817
RR,1,48,0.03242524916943522,2.04,102,4.784313725490196
RR,1,49,0.011561461794019933,1.06,53,3.2830188679245285
RR,1,50,0.029435215946843854,2.18,109,4.064220183486238
RR,1,51,0.018405315614617942,1.42,71,3.9014084507042255
RR,1,52,0.045647840531561464,3.64,182,3.7747252747252746
RR,1,53,0.0345514950166113,2.22,111,4.684684684684685
RR,1,54,0.045514950166112955,3.3,165,4.151515151515151
RR,1,55,0.01813953488372093,2.08,104,2.625
RR,1,56,0.025980066445182724,1.76,88,4.443181818181818
RR,1,57,0.029169435215946844,2.58,129,3.4031007751937983
RR,1,58,0.020199335548172756,1.22,61,4.983606557377049
RR,1,59,0.03548172757475083,2.48,124,4.306451612903226
RR,1,60,0.022325581395348838,2.08,104,3.230769230769231
RR,1,61,0.03242524916943522,2.0,100,4.88
RR,1,62,0.004053156146179402,0.44,22,2.772727272727273
RR,1,63,0.013156146179401994,0.64,32,6.1875
RR,1,64,0.016146179401993355,0.8,40,6.075
RR,1,65,0.011362126245847176,1.08,54,3.1666666666666665
RR,1,66,0.05016611295681063,3.56,178,4.241573033707865
RR,1,67,0.007906976744186046,0.64,32,3.71875
RR,1,68,0.00877076411960133,1.24,62,2.129032258064516
RR,1,69,0.0279734219269103,2.5,125,3.368
RR,1,70,0.020132890365448505,1.36,68,4.455882352941177
RR,1,71,0.008637873754152824,1.12,56,2.3214285714285716
RR,1,72,0.036611295681063125,2.76,138,3.9927536231884058
RR,1,73,0.01973421926910299,1.46,73,4.068493150684931
RR,1,74,0.014352159468438538,1.58,79,2.7341772151898733
RR,1,75,0.0359468438538206,2.68,134,4.037313432835821
RR,1,76,0.037541528239202655,2.86,143,3.9510489510489513
RR,1,77,0.023322259136212626,1.94,97,3.618556701030928
RR,1,78,0.03375415282392027,2.82,141,3.602836879432624
RR,1,79,0.01674418604651163,1.98,99,2.5454545454545454
RR,1,80,0.03707641196013289,2.44,122,4.573770491803279
RR,1,81,0.03395348837209302,2.8,140,3.65
RR,1,82,0.03441860465116279,2.14,107,4.841121495327103
RR,1,83,0.024119601328903655,1.96,98,3.704081632653061
RR,1,84,0.01362126245847176,1.26,63,3.253968253968254
RR,1,85,0.02558139534883721,2.22,111,3.4684684684684686
RR,1,86,0.008438538205980067,0.88,44,2.8863636363636362
RR,1,87,0.012358803986710963,1.02,51,3.6470588235294117
RR,1,88,0.026910299003322258,2.22,111,3.6486486486486487
