eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank
0.84,0.02,0.02,0.75,0.1,3,0.7311111111111112,0.06,13321.11111111111,178.22047580590888,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.19333333333333336,717.9999999999982,-12.376883440104109,0.053333333333333455,393.55555555555475,1.43164805198046,717.9999999999982,0.0,0.05,0.009999999999999995,31
0.84,0.03,0.02,0.75,0.1,3,0.7288888888888888,0.05333333333333334,13343.11111111111,179.94168458781363,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.191111111111111,739.9999999999982,-10.65567465819936,0.05111111111111111,415.55555555555475,3.1528568338852097,739.9999999999982,0.0,0.05,0.003333333333333334,32
0.84,0.02,0.03,0.75,0.1,3,0.7266666666666667,0.06,13323.111111111111,178.63868376068376,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.18888888888888888,720.0,-11.958675485329223,0.04888888888888898,395.55555555555657,1.8498560067553456,720.0,0.0,0.05,0.009999999999999995,33
0.84,0.04,0.02,0.75,0.1,3,0.7266666666666666,0.05333333333333334,13344.22222222222,180.15578075336444,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.18888888888888877,741.1111111111095,-10.441578492648546,0.04888888888888887,416.66666666666606,3.366952999436023,741.1111111111095,0.0,0.05,0.003333333333333334,34
0.85,0.02,0.01,0.75,0.1,3,0.7266666666666666,0.08,13362.22222222222,179.0148629930744,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.18888888888888877,759.1111111111095,-11.582496252938597,0.04888888888888887,434.66666666666606,2.226035239145972,759.1111111111095,0.0,0.05,0.03,35
0.84,0.03,0.03,0.75,0.1,3,0.7244444444444444,0.05333333333333334,13336.0,180.0201929969672,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.18666666666666665,732.8888888888887,-10.577166249045774,0.046666666666666745,408.44444444444525,3.2313652430387947,732.8888888888887,0.0,0.05,0.003333333333333334,36
0.85,0.03,0.01,0.75,0.1,3,0.7244444444444444,0.08,13382.666666666666,179.57998380894557,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.18666666666666665,779.5555555555547,-11.017375437067415,0.046666666666666745,455.1111111111113,2.7911560550171544,779.5555555555547,0.0,0.05,0.03,37
0.84,0.04,0.03,0.75,0.1,3,0.7222222222222223,0.05333333333333334,13339.333333333334,180.3175880244571,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.18444444444444452,736.2222222222226,-10.279771221555876,0.04444444444444462,411.7777777777792,3.528760270528693,736.2222222222226,0.0,0.05,0.003333333333333334,38
0.85,0.04,0.01,0.75,0.1,3,0.7200000000000001,0.08,13386.0,179.44482249597172,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.18222222222222229,782.8888888888887,-11.152536750041264,0.04222222222222238,458.44444444444525,2.6559947420433048,782.8888888888887,0.0,0.05,0.03,39
0.85,0.02,0.03,0.75,0.1,3,0.7177777777777777,0.07333333333333333,13381.77777777778,179.80241717878084,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.17999999999999994,778.6666666666679,-10.794942067232142,0.040000000000000036,454.22222222222445,3.0135894248524266,778.6666666666679,0.0,0.05,0.02333333333333333,40
0.85,0.03,0.03,0.75,0.1,3,0.7177777777777777,0.07333333333333333,13396.888888888889,180.63896658896658,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.17999999999999994,793.7777777777774,-9.958392657046403,0.040000000000000036,469.33333333333394,3.850138835038166,793.7777777777774,0.0,0.05,0.02333333333333333,41
0.85,0.02,0.02,0.75,0.1,3,0.7177777777777777,0.08,13394.444444444443,179.3589566998658,0.5377777777777778,0.06666666666666667,12603.111111111111,190.59735924601299,0.6777777777777777,0.10666666666666667,12927.555555555555,176.78882775392842,0.17999999999999994,791.3333333333321,-11.2384025461472,0.040000000000000036,466.8888888888887,2.5701289459373697,791.3333333333321,0.0,0.05,0.03,42
