strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,max_gateway_evidence,transmissions,gateway_threshold,a1,a2,sweep_scope,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,58,7701508260034706105,gateway_calibration,sweep:anomaly_pair:shared_scenarios,517.394742954731,111,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,59,2711167823261115708,gateway_calibration,sweep:anomaly_pair:shared_scenarios,713.5270413168915,135,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,60,3144340299977682071,gateway_calibration,sweep:anomaly_pair:shared_scenarios,787.483908409989,115,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,61,6563400931778538780,gateway_calibration,sweep:anomaly_pair:shared_scenarios,703.662303498901,109,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,62,2388043308876394469,gateway_calibration,sweep:anomaly_pair:shared_scenarios,634.3260831147362,130,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,63,6824789488425972207,gateway_calibration,sweep:anomaly_pair:shared_scenarios,556.889712049673,114,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,64,1401432086598941843,gateway_calibration,sweep:anomaly_pair:shared_scenarios,749.9605816026277,129,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,65,4672481713666300259,gateway_calibration,sweep:anomaly_pair:shared_scenarios,708.071069622541,139,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,66,6903420366369478612,gateway_calibration,sweep:anomaly_pair:shared_scenarios,569.2190715137802,118,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,67,6898050963322559496,gateway_calibration,sweep:anomaly_pair:shared_scenarios,587.2629107333358,109,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,68,614393272824454916,gateway_calibration,sweep:anomaly_pair:shared_scenarios,656.3811982238444,137,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,69,672551910386015347,gateway_calibration,sweep:anomaly_pair:shared_scenarios,648.9523603395239,127,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,70,2982091152045645099,gateway_calibration,sweep:anomaly_pair:shared_scenarios,609.9615101302793,109,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,71,823492357614472977,gateway_calibration,sweep:anomaly_pair:shared_scenarios,768.8785109183434,145,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,72,4697794938409790858,gateway_calibration,sweep:anomaly_pair:shared_scenarios,632.5404802069079,126,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,73,6582019303472037237,gateway_calibration,sweep:anomaly_pair:shared_scenarios,671.1428221307151,119,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,74,300672792335245350,gateway_calibration,sweep:anomaly_pair:shared_scenarios,517.3631692207014,106,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,75,5751946339530838054,gateway_calibration,sweep:anomaly_pair:shared_scenarios,611.1319243770469,128,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,76,961439938750258285,gateway_calibration,sweep:anomaly_pair:shared_scenarios,795.4435413733178,121,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,77,3257887825763507863,gateway_calibration,sweep:anomaly_pair:shared_scenarios,694.7487527676633,129,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,78,8166365252455630432,gateway_calibration,sweep:anomaly_pair:shared_scenarios,646.5520829869722,125,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,79,2849578758725429319,gateway_calibration,sweep:anomaly_pair:shared_scenarios,674.968697968745,116,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,80,5847011703168282323,gateway_calibration,sweep:anomaly_pair:shared_scenarios,754.9841137048957,134,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,81,7858864668525583430,gateway_calibration,sweep:anomaly_pair:shared_scenarios,487.1649775104836,104,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,82,268940495404723730,gateway_calibration,sweep:anomaly_pair:shared_scenarios,493.5006027596834,102,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,83,4400655767576069724,gateway_calibration,sweep:anomaly_pair:shared_scenarios,615.8353202498862,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,84,7359957410266699792,gateway_calibration,sweep:anomaly_pair:shared_scenarios,679.7223203086312,130,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,85,4731760846268061734,gateway_calibration,sweep:anomaly_pair:shared_scenarios,668.9432566677295,112,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,86,1992618809938800466,gateway_calibration,sweep:anomaly_pair:shared_scenarios,697.2733989519444,143,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,87,8403004296001441656,gateway_calibration,sweep:anomaly_pair:shared_scenarios,614.8229640454268,131,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,88,5944369264469843788,gateway_calibration,sweep:anomaly_pair:shared_scenarios,640.9069153295679,127,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,89,216637230108974742,gateway_calibration,sweep:anomaly_pair:shared_scenarios,721.851185570976,125,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,90,896283027553350313,gateway_calibration,sweep:anomaly_pair:shared_scenarios,726.9102162418349,122,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,91,2129979059599230336,gateway_calibration,sweep:anomaly_pair:shared_scenarios,650.0381063231874,114,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,92,8440158530804782812,gateway_calibration,sweep:anomaly_pair:shared_scenarios,612.016366095553,120,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,93,2515105766560126937,gateway_calibration,sweep:anomaly_pair:shared_scenarios,667.3022770531283,121,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,94,7871536140642585085,gateway_calibration,sweep:anomaly_pair:shared_scenarios,587.2130948646582,114,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,95,5141400087580602088,gateway_calibration,sweep:anomaly_pair:shared_scenarios,569.322728605633,119,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,96,8112959400662868633,gateway_calibration,sweep:anomaly_pair:shared_scenarios,582.3610924325641,120,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,97,1078891354826946508,gateway_calibration,sweep:anomaly_pair:shared_scenarios,513.1789256872811,106,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,98,2726858539062778841,gateway_calibration,sweep:anomaly_pair:shared_scenarios,710.0977642992832,108,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,99,4880208515358931166,gateway_calibration,sweep:anomaly_pair:shared_scenarios,592.7985432418101,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,100,9112943947571933379,gateway_calibration,sweep:anomaly_pair:shared_scenarios,705.8185859541513,117,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,101,4842620908627243129,gateway_calibration,sweep:anomaly_pair:shared_scenarios,601.535682518014,120,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
EIR,0,102,9221364585446048791,gateway_calibration,sweep:anomaly_pair:shared_scenarios,747.0405348095659,134,780.8217656405762,,,shared_all_anomaly_strengths,0.84,0.02,0.01,0.75
