eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2,focus_max_a1,num_focus_points,eir_mean_P_D,eir_mean_P_FA,eir_mean_C_H1,eir_mean_delay,tr_mean_P_D,tr_mean_P_FA,tr_mean_C_H1,tr_mean_delay,rr_mean_P_D,rr_mean_P_FA,rr_mean_C_H1,rr_mean_delay,delta_P_D_vs_TR,delta_C_H1_vs_TR,delta_delay_vs_TR,delta_P_D_vs_RR,delta_C_H1_vs_RR,delta_delay_vs_RR,traffic_penalty_vs_TR,delay_penalty_vs_TR,target_P_FA,pfa_abs_deviation,soft_rank,pfa_tolerance,pfa_feasible,detection_gain_vs_both,relative_C_H1_vs_RR,max_relative_traffic_overhead_vs_RR,traffic_competitive_vs_RR,robust_success,robust_rank
0.85,0.04,0.02,0.75,0.1,3,0.7155555555555555,0.08,13408.666666666666,180.2536920002161,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1777777777777777,805.5555555555547,-10.343667245796894,0.0377777777777778,481.1111111111113,3.464864246287675,805.5555555555547,0.0,0.05,0.03,44,0.03,True,True,0.037215938391721215,0.05,True,True,21
0.85,0.04,0.03,0.75,0.1,3,0.7133333333333333,0.0733333333333333,13394.444444444443,180.32323232323236,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1755555555555554,791.3333333333321,-10.274126922780653,0.0355555555555555,466.8888888888887,3.5344045693039163,791.3333333333321,0.0,0.05,0.0233333333333333,45,0.03,True,True,0.03611579055935632,0.05,True,True,22
0.85,0.03,0.01,0.9,0.1,3,0.7133333333333333,0.08,13366.22222222222,179.15489439853073,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1755555555555554,763.1111111111095,-11.442464847482256,0.0355555555555555,438.66666666666606,2.366066644602313,763.1111111111095,0.0,0.05,0.03,46,0.03,True,True,0.033932684704506944,0.05,True,True,23
0.85,0.04,0.01,0.9,0.1,3,0.7133333333333333,0.08,13366.22222222222,179.74431588613405,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1755555555555554,763.1111111111095,-10.85304335987894,0.0355555555555555,438.66666666666606,2.9554881322056303,763.1111111111095,0.0,0.05,0.03,47,0.03,True,True,0.033932684704506944,0.05,True,True,24
0.85,0.02,0.01,0.9,0.1,3,0.7133333333333333,0.08,13418.888888888889,179.93281910009182,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1755555555555554,815.7777777777774,-10.664540145921166,0.0355555555555555,491.33333333333394,3.1439913461634035,815.7777777777774,0.0,0.05,0.03,48,0.03,True,True,0.03800666964623356,0.05,True,True,25
0.85,0.03,0.03,0.9,0.1,3,0.708888888888889,0.0733333333333333,13364.88888888889,180.20856009070292,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1711111111111112,761.7777777777792,-10.38879915531004,0.0311111111111113,437.33333333333576,3.41973233677453,761.7777777777792,0.0,0.05,0.0233333333333333,49,0.03,True,True,0.03382954584522291,0.05,True,True,26
0.85,0.04,0.03,0.9,0.1,3,0.708888888888889,0.0733333333333333,13374.0,181.20826530612248,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1711111111111112,770.8888888888887,-9.389093939890529,0.0311111111111113,446.44444444444525,4.41943755219404,770.8888888888887,0.0,0.05,0.0233333333333333,50,0.03,True,True,0.03453432805033163,0.05,True,True,27
0.85,0.03,0.02,0.9,0.1,3,0.708888888888889,0.08,13380.666666666666,179.66010204081633,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1711111111111112,777.5555555555547,-10.93725720519666,0.0311111111111113,453.1111111111113,2.8712742868879104,777.5555555555547,0.0,0.05,0.03,51,0.03,True,True,0.035050022346752696,0.05,True,True,28
0.85,0.04,0.02,0.9,0.1,3,0.708888888888889,0.08,13381.555555555557,180.48980725623585,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1711111111111112,778.4444444444434,-10.107551989777164,0.0311111111111113,454.0,3.700979502307405,778.4444444444434,0.0,0.05,0.03,52,0.03,True,True,0.03511878158627568,0.05,True,True,29
0.85,0.02,0.02,0.9,0.1,3,0.7066666666666667,0.0733333333333333,13446.444444444443,180.4075,0.5377777777777778,0.0666666666666666,12603.111111111111,190.59735924601296,0.6777777777777777,0.1066666666666666,12927.555555555557,176.78882775392842,0.1688888888888888,843.3333333333321,-10.189859246012986,0.0288888888888889,518.8888888888887,3.618672246071583,843.3333333333321,0.0,0.05,0.0233333333333333,53,0.03,True,True,0.040138206071440585,0.05,True,True,30
