strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,max_gateway_evidence,transmissions,gateway_threshold,a1,a2,sweep_scope
RR,0,94,7871536140642585085,gateway_calibration,sweep:anomaly_pair:shared_scenarios,635.1482739955528,117,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,95,5141400087580602088,gateway_calibration,sweep:anomaly_pair:shared_scenarios,681.5345652773419,139,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,96,8112959400662868633,gateway_calibration,sweep:anomaly_pair:shared_scenarios,534.1615451159349,112,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,97,1078891354826946508,gateway_calibration,sweep:anomaly_pair:shared_scenarios,796.8842240441207,145,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,98,2726858539062778841,gateway_calibration,sweep:anomaly_pair:shared_scenarios,615.3463367195038,106,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,99,4880208515358931166,gateway_calibration,sweep:anomaly_pair:shared_scenarios,597.9068899194862,100,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,100,9112943947571933379,gateway_calibration,sweep:anomaly_pair:shared_scenarios,652.0857346012294,117,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,101,4842620908627243129,gateway_calibration,sweep:anomaly_pair:shared_scenarios,570.9471918912479,113,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,102,9221364585446048791,gateway_calibration,sweep:anomaly_pair:shared_scenarios,794.3999478116106,143,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,103,3494744169553416929,gateway_calibration,sweep:anomaly_pair:shared_scenarios,655.4153343810843,121,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,104,7233638741406416371,gateway_calibration,sweep:anomaly_pair:shared_scenarios,748.5153393741658,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,105,3641336694656935735,gateway_calibration,sweep:anomaly_pair:shared_scenarios,788.3663152178742,115,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,106,3835715673444251126,gateway_calibration,sweep:anomaly_pair:shared_scenarios,670.0284240315716,123,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,107,2714185319899586904,gateway_calibration,sweep:anomaly_pair:shared_scenarios,756.4516988777357,131,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,108,7065677078823521164,gateway_calibration,sweep:anomaly_pair:shared_scenarios,699.6429735557466,132,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,109,1054405605846734754,gateway_calibration,sweep:anomaly_pair:shared_scenarios,746.6206682353142,128,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,110,2962441662239683096,gateway_calibration,sweep:anomaly_pair:shared_scenarios,710.3433584713587,141,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,111,4129263628419206857,gateway_calibration,sweep:anomaly_pair:shared_scenarios,673.1442382211177,112,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,112,1622360177596404131,gateway_calibration,sweep:anomaly_pair:shared_scenarios,695.0068643802417,122,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,113,2330463691884836340,gateway_calibration,sweep:anomaly_pair:shared_scenarios,651.7107254434954,129,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,114,2652712276700624970,gateway_calibration,sweep:anomaly_pair:shared_scenarios,634.3851947652014,123,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,115,6210151626445176008,gateway_calibration,sweep:anomaly_pair:shared_scenarios,759.2135664306345,136,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,116,5484880361464436307,gateway_calibration,sweep:anomaly_pair:shared_scenarios,586.5884700499595,123,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,117,9083936004600730053,gateway_calibration,sweep:anomaly_pair:shared_scenarios,660.389405747221,119,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,118,7499139004400980353,gateway_calibration,sweep:anomaly_pair:shared_scenarios,609.3755491851595,128,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,119,426229976672197883,gateway_calibration,sweep:anomaly_pair:shared_scenarios,807.0943608585751,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,120,246508369912879822,gateway_calibration,sweep:anomaly_pair:shared_scenarios,618.7534996963177,120,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,121,2652398091327796019,gateway_calibration,sweep:anomaly_pair:shared_scenarios,688.995908679182,140,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,122,5503532496059794744,gateway_calibration,sweep:anomaly_pair:shared_scenarios,558.7404270224164,114,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,123,8329007375693140607,gateway_calibration,sweep:anomaly_pair:shared_scenarios,623.5214659850739,125,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,124,4366984316536531468,gateway_calibration,sweep:anomaly_pair:shared_scenarios,605.8303951632838,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,125,6198917521197951328,gateway_calibration,sweep:anomaly_pair:shared_scenarios,734.2954479512325,134,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,126,3901305802510177060,gateway_calibration,sweep:anomaly_pair:shared_scenarios,612.4073433041797,145,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,127,3651935198066528014,gateway_calibration,sweep:anomaly_pair:shared_scenarios,649.7383329712366,113,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,128,3665222385996101800,gateway_calibration,sweep:anomaly_pair:shared_scenarios,520.8626626031386,115,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,129,3695450124233607618,gateway_calibration,sweep:anomaly_pair:shared_scenarios,584.0796471027235,108,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,130,4507573490889405567,gateway_calibration,sweep:anomaly_pair:shared_scenarios,584.9886216888187,107,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,131,6622006059011695217,gateway_calibration,sweep:anomaly_pair:shared_scenarios,713.1046751893233,141,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,132,1072149559379176970,gateway_calibration,sweep:anomaly_pair:shared_scenarios,722.8444733005002,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,133,2236710786858836466,gateway_calibration,sweep:anomaly_pair:shared_scenarios,632.7095446356655,125,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,134,4061241335305450115,gateway_calibration,sweep:anomaly_pair:shared_scenarios,444.6833284265368,109,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,135,4458267631564501530,gateway_calibration,sweep:anomaly_pair:shared_scenarios,574.3491629318333,129,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,136,4602541395243770802,gateway_calibration,sweep:anomaly_pair:shared_scenarios,520.5878903017466,113,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,137,8154260143710516340,gateway_calibration,sweep:anomaly_pair:shared_scenarios,636.8432395408545,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,138,7114745814847013655,gateway_calibration,sweep:anomaly_pair:shared_scenarios,764.7403901247214,141,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,139,7504069718206669675,gateway_calibration,sweep:anomaly_pair:shared_scenarios,685.3533634292367,121,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,140,2484320023919988263,gateway_calibration,sweep:anomaly_pair:shared_scenarios,705.4877573356829,114,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,141,5967893154890299710,gateway_calibration,sweep:anomaly_pair:shared_scenarios,605.6226520720915,139,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,142,8551485174213736670,gateway_calibration,sweep:anomaly_pair:shared_scenarios,593.0845409341207,122,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,143,400428821000820213,gateway_calibration,sweep:anomaly_pair:shared_scenarios,673.7423890659675,120,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,144,4671208357574952400,gateway_calibration,sweep:anomaly_pair:shared_scenarios,535.0315918117136,108,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,145,2717424151482641221,gateway_calibration,sweep:anomaly_pair:shared_scenarios,757.8705631940385,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,146,7103388310734235320,gateway_calibration,sweep:anomaly_pair:shared_scenarios,758.5391731450746,132,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,147,6613689040717774173,gateway_calibration,sweep:anomaly_pair:shared_scenarios,684.7949132885333,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,148,3013865715162790417,gateway_calibration,sweep:anomaly_pair:shared_scenarios,585.3701801194334,128,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,149,5411062845189856806,gateway_calibration,sweep:anomaly_pair:shared_scenarios,523.9901254605194,107,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,150,753526066345137121,gateway_calibration,sweep:anomaly_pair:shared_scenarios,760.2681911392119,120,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,151,5517788874787541446,gateway_calibration,sweep:anomaly_pair:shared_scenarios,712.1526255682508,135,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,152,3012173983135274094,gateway_calibration,sweep:anomaly_pair:shared_scenarios,580.9282135965994,137,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,153,7525768142714343326,gateway_calibration,sweep:anomaly_pair:shared_scenarios,557.0536349022957,109,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,154,5795757086317543101,gateway_calibration,sweep:anomaly_pair:shared_scenarios,651.0643526499841,101,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,155,1489560090090177220,gateway_calibration,sweep:anomaly_pair:shared_scenarios,637.3133131790169,125,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,156,5650023223194757707,gateway_calibration,sweep:anomaly_pair:shared_scenarios,729.8209503336006,118,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,157,9095396682315926676,gateway_calibration,sweep:anomaly_pair:shared_scenarios,673.2017281811461,126,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,158,3646421855625731332,gateway_calibration,sweep:anomaly_pair:shared_scenarios,635.0060805046269,114,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,159,2731180400104840963,gateway_calibration,sweep:anomaly_pair:shared_scenarios,794.3017411578682,128,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,160,6525253475390859142,gateway_calibration,sweep:anomaly_pair:shared_scenarios,779.342569676656,146,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,161,5342702562007933787,gateway_calibration,sweep:anomaly_pair:shared_scenarios,619.5882639864087,122,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,162,1696163523599298321,gateway_calibration,sweep:anomaly_pair:shared_scenarios,743.877167678884,138,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,163,3743667071636317329,gateway_calibration,sweep:anomaly_pair:shared_scenarios,770.963528054433,148,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,164,1703215274657857080,gateway_calibration,sweep:anomaly_pair:shared_scenarios,706.3254251546598,124,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,165,3749419661803877216,gateway_calibration,sweep:anomaly_pair:shared_scenarios,625.4881272149262,104,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,166,1022849663340299120,gateway_calibration,sweep:anomaly_pair:shared_scenarios,676.1601765725516,122,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,167,812573164251080741,gateway_calibration,sweep:anomaly_pair:shared_scenarios,648.8647706719014,132,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,168,9181789161802016476,gateway_calibration,sweep:anomaly_pair:shared_scenarios,745.9085428797927,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,169,41852731993844740,gateway_calibration,sweep:anomaly_pair:shared_scenarios,711.5413383861371,126,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,170,2160723943465049599,gateway_calibration,sweep:anomaly_pair:shared_scenarios,689.1001408502553,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,171,4956274529951239709,gateway_calibration,sweep:anomaly_pair:shared_scenarios,812.7659376802904,134,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,172,6793317195616864064,gateway_calibration,sweep:anomaly_pair:shared_scenarios,779.4821098686546,137,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,173,4303638152728383403,gateway_calibration,sweep:anomaly_pair:shared_scenarios,703.5841655872915,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,174,7314201943706610406,gateway_calibration,sweep:anomaly_pair:shared_scenarios,656.8421243874285,130,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,175,1512635151930618621,gateway_calibration,sweep:anomaly_pair:shared_scenarios,700.7522018608888,127,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,176,8308315004410766501,gateway_calibration,sweep:anomaly_pair:shared_scenarios,738.390739559935,134,796.9047086849398,,,shared_all_anomaly_strengths
RR,0,177,8366281085404403237,gateway_calibration,sweep:anomaly_pair:shared_scenarios,561.7123437637335,115,796.9047086849398,,,shared_all_anomaly_strengths
