strategy,state_h1,trial_index,scenario_seed,seed_phase,seed_namespace,gateway_threshold,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence,a1,a2,eir_gate_quantile,hysteresis_margin_eir,gate_hysteresis_margin,w2
EIR,0,41,100931594992729856,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,109,636.1302491677468,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,42,9122411650296708094,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,123,604.532041809473,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,43,8807961794672273694,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,115,584.826701090658,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,44,4039465025297310671,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,124,745.4871041316286,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,45,1303065415136621520,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,115,506.54083676285916,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,46,5529452567520039289,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,109,521.8924594426754,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,47,3398373731648388441,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,726.2337718325708,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,48,8200444180592309156,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,130,687.4336992528689,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,49,5621496965372644875,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,652.3899937678102,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,50,327914488649627036,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,97,597.7818661902269,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,51,7432708170281275218,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,648.93693130785,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,52,3802370265261614175,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,135,673.2509202288815,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,53,4038171143014284082,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,130,704.7650528910341,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,54,3336529761683344824,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,114,606.9098354179521,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,55,1760523074528716079,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,115,575.1480659422192,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,56,7456372500045997966,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,132,720.0814524824265,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,57,380633820391136789,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,106,521.2307925270403,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,58,7723030530287328423,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,123,616.8646513422889,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,59,497544355896473532,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,120,766.8606568086724,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,60,7845018259805258654,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,113,615.7329632717158,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,61,5540219232902936081,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,206.0,130,828.6766409892223,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,62,48725929166278989,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,140,734.3103169113439,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,63,8475777184813767823,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,111,647.795751248281,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,64,595842880634436484,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,125,711.8108403210746,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,65,7769771095575010619,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,154,709.026141035883,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,66,2809989228385752663,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,127,665.127510926529,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,67,5366708037640485086,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,135,727.5963164957242,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,68,8888696536612380703,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,139,673.7194826198463,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,69,703141394792259125,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,129,558.1330348022672,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,70,956861592787059750,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,130,647.710888418184,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,71,7171235012563863054,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,110,734.4634045314745,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,72,7426903974649218010,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,111,632.8067607948168,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,73,2281652111302095547,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,93,411.49936065827444,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,74,6620132207452246077,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,119,653.3068384342099,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,75,2299772339582960882,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,132,646.6628581015892,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,76,8665134526325593785,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,104,473.6556596621397,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,77,5831347187511415146,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,561.0453986036969,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,78,2764179054952749108,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,121,507.1522171168411,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,79,1436801579430159727,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,137,665.6686622622473,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,80,4256239665401846864,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,130,689.029850629607,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,81,6408681589980055778,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,263.0,142,787.3007451875201,0.03,0.012,0.84,0.02,0.01,0.75
EIR,0,82,5374022468059246902,evaluation,sweep:anomaly_pair:shared_scenarios,780.8217656405762,0,0,inf,inf,104,557.353456692584,0.03,0.012,0.84,0.02,0.01,0.75
