strategy,state_h1,detected,pre_onset_alarm,detection_time,first_alarm_time,transmissions,max_gateway_evidence
RR,0,0,0,inf,8.0,1,22.41924408129222
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,13.659882889154295
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,10.321841633121911
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,4.362184240962112
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,inf,1,14.250138545953183
RR,0,0,0,inf,inf,0,0.0
RR,0,0,0,inf,12.0,1,19.38359985987656
RR,1,0,0,inf,inf,42,11.814982594188333
RR,1,0,0,inf,inf,54,11.580455930847315
RR,1,0,0,inf,inf,33,8.001373182558753
RR,1,0,0,inf,inf,47,9.319440200849403
RR,1,0,0,inf,inf,37,11.694156361487243
RR,1,0,0,inf,inf,45,9.830228340080193
RR,1,0,0,inf,inf,23,6.767543563574692
RR,1,0,0,inf,inf,24,7.763650287157676
RR,1,1,0,146.0,146.0,45,19.650756641400307
RR,1,0,0,inf,inf,60,11.229734640766317
RR,1,0,0,inf,inf,62,13.903094067533614
RR,1,0,0,inf,inf,33,11.228903421950065
RR,1,0,0,inf,inf,13,4.58049259618471
RR,1,0,0,inf,inf,48,9.415700353465294
RR,1,1,0,143.0,143.0,23,18.08685583134301
RR,1,0,0,inf,inf,75,11.624313971593999
RR,1,0,0,inf,inf,22,13.504717640662982
RR,1,0,0,inf,inf,31,6.837163066596983
RR,1,0,0,inf,inf,80,12.64852273904451
RR,1,0,0,inf,inf,42,12.13237171178745
RR,1,0,0,inf,inf,42,15.592524554196793
RR,1,0,0,inf,inf,46,11.715937555922553
RR,1,1,0,99.0,99.0,22,29.097383882734473
RR,1,0,0,inf,inf,60,15.407005061549203
RR,1,0,1,inf,14.0,69,17.663890984020686
RR,1,0,0,inf,inf,38,10.541641364217865
RR,1,0,0,inf,inf,92,16.027412434531545
RR,1,0,0,inf,inf,48,11.103849983738593
RR,1,0,0,inf,inf,52,8.319726842640833
RR,1,0,1,inf,6.0,36,24.85858066760069
RR,1,1,0,201.0,201.0,58,18.076909708889538
RR,1,0,0,inf,inf,33,8.896569228053467
RR,1,0,0,inf,inf,57,15.027585087074943
RR,1,0,0,inf,inf,32,11.036813898967997
RR,1,0,0,inf,inf,48,14.98342000908217
